Название,Жанр,Режиссер,Страна,Год,IMDB
Чёрный лебедь," драма, триллер", Даррен Аронофски , США,2010 , 8.0 
Прометей," фантастика, приключения, детектив", Ридли Скотт ," США, Великобритания",2012 , 7.0 
Отряд самоубийц: Миссия навылет," фантастика, боевик, приключения", Джеймс Ганн , США,2021 , 7.2 
Король говорит!," биография, драма, история", Том Хупер , Великобритания,2010 , 8.0 
Девушка с татуировкой дракона," триллер, драма, криминал", Дэвид Финчер ," США, Швеция",2011 , 7.8 
Человек-муравей и Оса," фантастика, боевик, приключения", Пейтон Рид ," США, Канада",2018 , 7.0 
Быстрее пули," боевик, комедия, триллер", Дэвид Литч ," США, Япония",2022 , 7.3 
Тачки," мультфильм, приключения, комедия", Джон Лассетер... , США,2006 , 7.3 
Рапунцель: Запутанная история," мультфильм, приключения, комедия", Нэйтан Грено... ," США, Япония",2010 , 7.7 
Новый Человек-паук," фантастика, боевик", Марк Уэбб , США,2012 , 6.9 
Суперсемейка," мультфильм, боевик, приключения", Брэд Бёрд , США,2004 , 8.0 
Сонная лощина," ужасы, фэнтези, триллер", Тим Бёртон ," США, Германия, Великобритания",1999 , 7.3 
Аладдин," мультфильм, фэнтези, приключения", Рон Клементс... , США,1992 , 8.0 
Клаус," мультфильм, приключения, комедия", Серхио Паблос... , Испания,2019 , 8.2 
В погоне за счастьем," биография, драма", Габриэле Муччино , США,2006 , 8.0 
Человек-паук 3: Враг в отражении," фантастика, боевик, приключения", Сэм Рэйми , США,2007 , 6.3 
Она," фантастика, драма, мелодрама", Спайк Джонс , США,2013 , 8.0 
Еще по одной," драма, комедия", Томас Винтерберг ," Дания, Швеция, Нидерланды",2020 , 7.7 
Парк Юрского периода," фантастика, боевик, приключения", Стивен Спилберг , США,1993 , 8.2 
Варкрафт," фэнтези, боевик, приключения", Дункан Джонс ," США, Китай, Канада",2016 , 6.7 
Всё везде и сразу," фантастика, фэнтези, боевик", Дэниэл Кван... , США,2021 , 7.8 
Мумия," фэнтези, боевик, приключения", Стивен Соммерс , США,1999 , 7.1 
Алита: Боевой ангел," фантастика, боевик, приключения", Роберт Родригес ," США, Япония, Канада",2019 , 7.3 
Фантастические твари: Преступления Грин-де-Вальда," фэнтези, приключения, семейный", Дэвид Йейтс ," Великобритания, США",2018 , 6.5 
Жизнь Пи," фэнтези, приключения, драма", Энг Ли ," США, Тайвань, Великобритания",2012 , 7.9 
Пипец," боевик, триллер, комедия", Мэттью Вон ," Великобритания, США",2010 , 7.6 
Люси," фантастика, боевик, триллер", Люк Бессон ," Франция, Германия, Тайвань",2014 , 6.4 
Грязь," боевик, комедия, криминал", Джон С. Бейрд ," Великобритания, Германия, Швеция",2013 , 7.0 
Чужие," ужасы, фантастика, боевик", Джеймс Кэмерон ," США, Великобритания",1986 , 8.4 
Красота по-американски, драма, Сэм Мендес , США,1999 , 8.3 
